# wavelength(um) wavelength_err(um) depth depth_err
1.09303863e+01 9.86621173e-03 8.47307985e-03 2.20026654e-03
1.09499205e+01 9.70054867e-03 5.17081412e-03 2.24416351e-03
1.09691885e+01 9.62242519e-03 3.82019090e-03 2.29597056e-03
1.09884102e+01 9.62025190e-03 5.07732207e-03 2.35268657e-03
1.10076695e+01 9.64360377e-03 7.03289329e-03 2.41118765e-03
1.10269846e+01 9.60653766e-03 3.84365131e-03 2.46939135e-03
1.10460956e+01 9.54596277e-03 -1.77775788e-03 2.52130892e-03
1.10651684e+01 9.51088373e-03 2.17192983e-03 2.55956226e-03
1.10841392e+01 9.48888629e-03 5.56208571e-03 2.58517883e-03
1.11031240e+01 9.38248486e-03 6.81101947e-03 2.61046694e-03
1.11216691e+01 9.31210514e-03 3.60230346e-03 2.65025724e-03
1.11403724e+01 9.36542971e-03 4.03930206e-03 2.71037571e-03
1.11591308e+01 9.38846900e-03 4.11651408e-03 2.78218376e-03
1.11779263e+01 9.39282157e-03 1.02774890e-03 2.84764056e-03
1.11967021e+01 9.45771896e-03 3.20102426e-03 2.89282473e-03
1.12157571e+01 9.48112767e-03 4.06571025e-03 2.91735959e-03
1.12346266e+01 9.36303310e-03 1.66772970e-03 2.93042270e-03
1.12532093e+01 9.28869844e-03 3.75171562e-03 2.94105199e-03
1.12717814e+01 9.26683919e-03 1.88374302e-03 2.95304471e-03
1.12902766e+01 9.26350065e-03 3.30083100e-03 2.96592426e-03
1.13088354e+01 9.28533146e-03 6.69296960e-03 2.98054585e-03
1.13274180e+01 9.24407600e-03 7.07887726e-03 3.00468762e-03
1.13458117e+01 9.18189446e-03 3.41551399e-03 3.04861017e-03
1.13641455e+01 9.15993602e-03 4.95762779e-03 3.11140166e-03
1.13824515e+01 9.14281269e-03 -9.88496015e-04 3.17615465e-03
1.14007168e+01 9.08160896e-03 3.32029578e-03 3.22740020e-03
1.14187779e+01 9.05245212e-03 4.14110652e-03 3.27111636e-03
1.14369266e+01 9.06330439e-03 3.40248246e-03 3.32470639e-03
1.14550311e+01 9.05988365e-03 6.04537498e-03 3.38932608e-03
1.14731661e+01 9.04311586e-03 1.07331963e-02 3.44615931e-03
1.14912036e+01 9.02272635e-03 4.69709273e-03 3.48368285e-03
1.15092570e+01 9.01334419e-03 4.11419490e-03 3.51560848e-03
1.15272569e+01 8.98728839e-03 5.99302542e-03 3.56315808e-03
1.15452062e+01 8.97379700e-03 8.69595834e-03 3.63288411e-03
1.15631521e+01 8.94982185e-03 3.76162544e-03 3.72003694e-03
1.15810055e+01 8.95116776e-03 7.39114673e-03 3.82128722e-03
1.15989568e+01 9.02073901e-03 7.28240468e-03 3.92911840e-03
1.16170884e+01 9.00570636e-03 6.92508736e-03 4.01804553e-03
1.16349796e+01 8.90318585e-03 1.23494660e-03 4.05842116e-03
1.16527012e+01 8.85142852e-03 8.28270076e-03 4.05312933e-03
1.16703853e+01 8.83276631e-03 7.27556512e-03 4.04331640e-03
1.16880322e+01 8.79344649e-03 5.69398379e-03 4.07205914e-03
1.17055591e+01 8.70823396e-03 7.09139429e-03 4.15434567e-03
1.17228652e+01 8.69753581e-03 1.18255161e-02 4.27619709e-03
1.17403493e+01 8.74557137e-03 1.29191297e-02 4.40977009e-03
1.17578475e+01 8.73993320e-03 9.71921770e-03 4.53208020e-03
1.17753090e+01 8.73090499e-03 9.27683773e-04 4.63988426e-03
1.17927711e+01 8.75214631e-03 8.05706916e-03 4.75006406e-03
1.18103176e+01 8.76562267e-03 7.91053374e-03 4.87874636e-03
1.18278336e+01 8.71828118e-03 1.76548121e-03 5.01661414e-03
1.18451907e+01 8.65922465e-03 1.07740476e-02 5.13166528e-03
1.18624705e+01 8.63083218e-03 1.47444208e-03 5.20550905e-03
1.18797140e+01 8.61274854e-03 -1.79509970e-03 5.25767058e-03
1.18969215e+01 8.67308308e-03 8.49535198e-03 5.32380772e-03
1.19144064e+01 8.69763291e-03 2.16124150e-03 5.42547759e-03
1.19317120e+01 8.59433175e-03 6.07151528e-03 5.57304908e-03
1.19487837e+01 8.54447551e-03 -3.71036304e-04 5.78171725e-03
1.19658899e+01 8.53409621e-03 -5.05598982e-03 6.06089870e-03
1.19829201e+01 8.48084995e-03 1.36627347e-02 6.38503902e-03
1.19998133e+01 8.26189761e-03 3.83918590e-04 6.69889202e-03
