# wavelength(um) wavelength_err(um) depth depth_err
3.05910067e+00 6.60611157e-03 4.51365435e-03 1.73192953e-04
3.07228590e+00 6.57929373e-03 4.90348764e-03 1.71235418e-04
3.08541785e+00 6.55220100e-03 4.49707371e-03 1.67810014e-04
3.09849471e+00 6.52558906e-03 4.67362290e-03 1.63845922e-04
3.11152021e+00 6.49953066e-03 4.82965690e-03 1.58020105e-04
3.12449283e+00 6.47322230e-03 4.73341993e-03 1.55796214e-04
3.13741309e+00 6.44760390e-03 4.68028267e-03 1.57261933e-04
3.15028324e+00 6.42222282e-03 4.42397120e-03 1.58885849e-04
3.16310199e+00 6.39680993e-03 4.90855096e-03 1.57794478e-04
3.17587048e+00 6.37203673e-03 4.62671651e-03 1.56312969e-04
3.18859013e+00 6.34738064e-03 4.88668905e-03 1.57661325e-04
3.20126001e+00 6.32263272e-03 4.67062469e-03 1.61165385e-04
3.21388066e+00 6.29852380e-03 4.63118406e-03 1.60625079e-04
3.22645410e+00 6.27493837e-03 5.14961215e-03 1.61677709e-04
3.23898042e+00 6.25088905e-03 4.65826071e-03 1.66235596e-04
3.25145766e+00 6.22708238e-03 4.93309729e-03 1.69951044e-04
3.26388875e+00 6.20414210e-03 4.57489575e-03 1.68509709e-04
3.27627423e+00 6.18137428e-03 4.77752418e-03 1.64714944e-04
3.28861424e+00 6.15827909e-03 4.77051903e-03 1.65205809e-04
3.30090734e+00 6.13541928e-03 4.68208628e-03 1.71679912e-04
3.31315592e+00 6.11327394e-03 4.96399919e-03 1.70250847e-04
3.32536044e+00 6.09134879e-03 4.95672954e-03 1.67069353e-04
3.33752132e+00 6.06933540e-03 4.65180384e-03 1.65633027e-04
3.34963778e+00 6.04734488e-03 4.60807678e-03 1.64459967e-04
3.36171070e+00 6.02580323e-03 4.61773639e-03 1.62191203e-04
3.37374099e+00 6.00466129e-03 4.88226139e-03 1.61700755e-04
3.38572934e+00 5.98368836e-03 4.81098004e-03 1.63769723e-04
3.39767575e+00 5.96283863e-03 4.79515569e-03 1.65166014e-04
3.40958070e+00 5.94191115e-03 4.60506046e-03 1.66395215e-04
3.42144339e+00 5.92115778e-03 4.83728582e-03 1.66723996e-04
3.43326533e+00 5.90087608e-03 4.89773159e-03 1.65946317e-04
3.44504689e+00 5.88079922e-03 4.79392525e-03 1.65408513e-04
3.45678852e+00 5.86087080e-03 4.48595847e-03 1.65696646e-04
3.46849038e+00 5.84111504e-03 4.59592140e-03 1.66065788e-04
3.48015298e+00 5.82157107e-03 4.69244656e-03 1.65576271e-04
3.49177666e+00 5.80201063e-03 4.63121186e-03 1.64346136e-04
3.50336103e+00 5.78255719e-03 4.60819508e-03 1.67517904e-04
3.51490689e+00 5.76349623e-03 4.56709454e-03 1.74164926e-04
3.52641501e+00 5.74462101e-03 4.87174075e-03 1.76733440e-04
3.53788538e+00 5.72585255e-03 4.50977195e-03 1.74058799e-04
3.54931842e+00 5.70730422e-03 4.68831610e-03 1.68062852e-04
3.56071459e+00 5.68888235e-03 4.75989689e-03 1.67170374e-04
3.57207395e+00 5.67056785e-03 4.82339610e-03 1.68975747e-04
3.58339686e+00 5.65247222e-03 4.86500243e-03 1.69473930e-04
3.59468384e+00 5.63452043e-03 4.99341942e-03 1.68336484e-04
3.60593495e+00 5.61666175e-03 4.75232960e-03 1.66841522e-04
3.61715049e+00 5.59899624e-03 4.78710073e-03 1.66063901e-04
3.62833093e+00 5.58150392e-03 4.67045057e-03 1.66033919e-04
3.63947650e+00 5.56413158e-03 4.68111558e-03 1.66520940e-04
3.65058746e+00 5.54690943e-03 4.75709138e-03 1.67217091e-04
3.66166414e+00 5.52985613e-03 4.88285879e-03 1.66980829e-04
3.67270688e+00 5.51286410e-03 4.82957749e-03 1.65489613e-04
3.68371560e+00 5.49606511e-03 4.58952402e-03 1.64949207e-04
3.69469114e+00 5.47944053e-03 4.63115193e-03 1.66289338e-04
3.70563336e+00 5.46282424e-03 4.74758450e-03 1.69305355e-04
3.71654244e+00 5.44639890e-03 4.74792933e-03 1.69093223e-04
3.72741895e+00 5.43021463e-03 4.73298172e-03 1.68607875e-04
3.73826330e+00 5.41405584e-03 4.53891254e-03 1.68709928e-04
3.74907518e+00 5.39806303e-03 4.61032899e-03 1.69917102e-04
3.75985555e+00 5.38223155e-03 4.61629882e-03 1.70843212e-04
3.77060410e+00 5.36644193e-03 4.54409852e-03 1.70782311e-04
3.78132132e+00 5.35089566e-03 4.85794242e-03 1.69553762e-04
3.79200769e+00 5.33537326e-03 4.92551982e-03 1.67750251e-04
3.80266281e+00 5.31997376e-03 4.79937298e-03 1.67631323e-04
3.81328758e+00 5.30474814e-03 4.63415116e-03 1.68705787e-04
3.82388180e+00 5.28956553e-03 4.33246277e-03 1.70833578e-04
3.83444584e+00 5.27463057e-03 5.02663422e-03 1.73550176e-04
3.84498032e+00 5.25980100e-03 4.84849712e-03 1.76471525e-04
3.85548505e+00 5.24500041e-03 4.79689495e-03 1.78746391e-04
3.86596033e+00 5.23024639e-03 4.81763054e-03 1.78605408e-04
3.87640603e+00 5.21551246e-03 4.52789959e-03 1.77198389e-04
3.88682238e+00 5.20105211e-03 4.93633866e-03 1.76599792e-04
3.89721024e+00 5.18671932e-03 4.78309503e-03 1.77048120e-04
3.90756925e+00 5.17245252e-03 4.84440955e-03 1.77108210e-04
3.91790005e+00 5.15843388e-03 4.56173870e-03 1.76909872e-04
3.92820299e+00 5.14452030e-03 4.83555143e-03 1.77203276e-04
3.93847813e+00 5.13064054e-03 4.62827026e-03 1.79169816e-04
3.94872555e+00 5.11665127e-03 4.71988689e-03 1.80751905e-04
3.95894474e+00 5.10272979e-03 4.56756260e-03 1.81786781e-04
3.96913647e+00 5.08915003e-03 4.57037594e-03 1.82191041e-04
3.97930134e+00 5.07568633e-03 4.56039466e-03 1.82620019e-04
3.98943922e+00 5.06227865e-03 4.93345665e-03 1.83381369e-04
3.99955045e+00 5.04904859e-03 4.74317648e-03 1.84747283e-04
4.00963541e+00 5.03585064e-03 4.81857459e-03 1.86155623e-04
4.01969385e+00 5.02245593e-03 4.43317721e-03 1.88118035e-04
4.02972523e+00 5.00921373e-03 4.77321530e-03 1.90232306e-04
4.03973071e+00 4.99640050e-03 4.84523317e-03 1.91939745e-04
4.04971084e+00 4.98365369e-03 4.80834977e-03 1.91472537e-04
4.05966532e+00 4.97102228e-03 4.57999802e-03 1.91449719e-04
4.06959492e+00 4.95819175e-03 4.59830234e-03 1.93087687e-04
4.07949809e+00 4.94528166e-03 4.71703787e-03 1.96700600e-04
4.08937605e+00 4.93292381e-03 4.69914330e-03 2.00009639e-04
4.09922979e+00 4.92065231e-03 4.88521906e-03 2.02468107e-04
4.10905866e+00 4.90837998e-03 4.53720211e-03 2.02812353e-04
4.11886331e+00 4.89593625e-03 4.84555048e-03 2.04152584e-04
4.12864241e+00 4.88354877e-03 4.78503170e-03 2.06722858e-04
4.13839750e+00 4.87162140e-03 4.76483029e-03 2.09752736e-04
4.14812889e+00 4.85970327e-03 4.78748964e-03 2.10921880e-04
4.15783631e+00 4.84768351e-03 4.70633671e-03 2.10272020e-04
4.16751963e+00 4.83567215e-03 5.07995017e-03 2.11091636e-04
4.17717900e+00 4.82397036e-03 4.74627196e-03 2.11167956e-04
4.18681551e+00 4.81252679e-03 5.04697002e-03 2.10635486e-04
4.19642911e+00 4.80072747e-03 4.67028545e-03 2.14740031e-04
4.20601842e+00 4.78896025e-03 4.84135706e-03 2.20720733e-04
4.21558495e+00 4.77758467e-03 5.05404444e-03 2.28955190e-04
4.22512876e+00 4.76644683e-03 4.71678314e-03 2.33736531e-04
4.23465074e+00 4.75496484e-03 4.63073334e-03 2.40934130e-04
4.24414861e+00 4.74343939e-03 4.38943660e-03 2.51669997e-04
4.25362450e+00 4.73254501e-03 4.87897666e-03 2.58478764e-04
4.26307879e+00 4.72142868e-03 5.12414733e-03 2.53579957e-04
4.27251021e+00 4.71007275e-03 4.90815640e-03 2.43606491e-04
4.28191909e+00 4.69917464e-03 5.15431091e-03 2.38848955e-04
4.29130691e+00 4.68857788e-03 4.95164925e-03 2.39007580e-04
4.30067340e+00 4.67760778e-03 4.70636150e-03 2.48169721e-04
4.31001734e+00 4.66658447e-03 5.15781214e-03 2.53290837e-04
4.31933973e+00 4.65614587e-03 5.02727222e-03 2.55123403e-04
4.32864192e+00 4.64555467e-03 5.07487598e-03 2.50152149e-04
4.33792195e+00 4.63469313e-03 4.91624212e-03 2.47049269e-04
4.34718070e+00 4.62439542e-03 4.16898671e-03 2.45642542e-04
4.35641954e+00 4.61399282e-03 4.83504203e-03 2.51517757e-04
4.36563667e+00 4.60339616e-03 4.57278734e-03 2.58804972e-04
4.37483312e+00 4.59316018e-03 4.56648323e-03 2.67679575e-04
4.38400931e+00 4.58301477e-03 4.30644592e-03 2.74017129e-04
4.39316518e+00 4.57264837e-03 5.19272775e-03 2.76129422e-04
4.40229990e+00 4.56256519e-03 4.61019909e-03 2.70750125e-04
4.41141544e+00 4.55264624e-03 4.77960572e-03 2.67001219e-04
4.42051049e+00 4.54241449e-03 4.78891626e-03 2.64435399e-04
4.42958510e+00 4.53259007e-03 3.88023449e-03 2.64761169e-04
4.43864085e+00 4.52271647e-03 4.69940096e-03 2.64953807e-04
4.44767596e+00 4.51274680e-03 4.69242127e-03 2.65070509e-04
4.45669183e+00 4.50319190e-03 4.81994822e-03 2.70963532e-04
4.46568873e+00 4.49336491e-03 4.72105662e-03 2.77327253e-04
4.47466529e+00 4.48354568e-03 4.50323191e-03 2.83811290e-04
4.48362291e+00 4.47421613e-03 5.21431189e-03 2.87968105e-04
4.49256216e+00 4.46449856e-03 4.62291711e-03 2.92137536e-04
4.50148091e+00 4.45494865e-03 4.68629016e-03 3.02586773e-04
4.51038195e+00 4.44561893e-03 4.29946387e-03 3.05358527e-04
4.51926338e+00 4.43602351e-03 4.99541480e-03 3.00763292e-04
4.52812605e+00 4.42698148e-03 4.76827401e-03 2.96848565e-04
4.53697131e+00 4.41750010e-03 4.57211404e-03 2.93013157e-04
4.54579605e+00 4.40812094e-03 4.44904225e-03 2.88828787e-04
4.55460379e+00 4.39913710e-03 4.62879069e-03 2.90615172e-04
4.56339260e+00 4.38986844e-03 4.35486322e-03 2.97096640e-04
4.57216327e+00 4.38098804e-03 4.31349486e-03 3.09467030e-04
4.58091655e+00 4.37183777e-03 4.93767291e-03 3.18098892e-04
4.58965062e+00 4.36278517e-03 4.30668781e-03 3.11672579e-04
4.59836769e+00 4.35401582e-03 5.03571740e-03 3.07012081e-04
4.60706668e+00 4.34505257e-03 4.71424966e-03 3.03541603e-04
4.61574790e+00 4.33639940e-03 4.21070269e-03 3.06689075e-04
4.62441228e+00 4.32745254e-03 4.77266235e-03 3.09166249e-04
4.63305771e+00 4.31879091e-03 4.57660938e-03 3.08205057e-04
4.64168744e+00 4.31010640e-03 4.58301112e-03 3.04119125e-04
4.65029814e+00 4.30132856e-03 4.43743460e-03 2.98169763e-04
4.65889276e+00 4.29282487e-03 4.84306109e-03 2.99067578e-04
